  { fs: 0.000, half: 0.020, top: 0.020, bottom: -0.020 },
  { fs: 0.100, half: 0.204, top: 0.309, bottom: -0.204 },
  { fs: 0.220, half: 0.327, top: 0.422, bottom: -0.332 },
  { fs: 0.360, half: 0.436, top: 0.524, bottom: -0.417 },
  { fs: 0.520, half: 0.527, top: 0.590, bottom: -0.500 },
  { fs: 0.700, half: 0.616, top: 0.670, bottom: -0.570 },
  { fs: 0.900, half: 0.685, top: 0.754, bottom: -0.631 },
  { fs: 1.060, half: 0.738, top: 0.814, bottom: -0.679 },
  { fs: 1.171, half: 0.775, top: 0.866, bottom: -0.713 },
  { fs: 1.340, half: 0.815, top: 1.045, bottom: -0.765 },
  { fs: 1.500, half: 0.852, top: 1.215, bottom: -0.798 },
  { fs: 1.620, half: 0.876, top: 1.320, bottom: -0.930 },
  { fs: 1.780, half: 0.945, top: 1.437, bottom: -0.868 },
  { fs: 1.900, half: 0.978, top: 1.500, bottom: -0.890 },
  { fs: 2.100, half: 1.019, top: 1.546, bottom: -0.935 },
  { fs: 2.350, half: 1.066, top: 1.584, bottom: -0.981 },
  { fs: 2.620, half: 1.097, top: 1.622, bottom: -1.009 },
  { fs: 2.900, half: 1.130, top: 1.636, bottom: -1.010 },
  { fs: 3.250, half: 1.160, top: 1.658, bottom: -1.010 },
  { fs: 3.700, half: 1.181, top: 1.674, bottom: -1.010 },
  { fs: 4.200, half: 1.208, top: 1.673, bottom: -1.010 },
  { fs: 4.800, half: 1.224, top: 1.658, bottom: -1.010 },
  { fs: 5.500, half: 1.234, top: 1.649, bottom: -1.010 },
  { fs: 6.300, half: 1.248, top: 1.637, bottom: -1.010 },
  { fs: 7.200, half: 1.263, top: 1.610, bottom: -1.011 },
  { fs: 8.100, half: 1.272, top: 1.597, bottom: -1.011 },
  { fs: 9.000, half: 1.281, top: 1.578, bottom: -1.011 },
  { fs: 9.900, half: 1.290, top: 1.556, bottom: -1.011 },
  { fs: 10.800, half: 1.299, top: 1.544, bottom: -1.012 },
  { fs: 11.700, half: 1.271, top: 1.515, bottom: -1.012 },
  { fs: 12.500, half: 1.221, top: 1.484, bottom: -1.012 },
  { fs: 13.200, half: 1.160, top: 1.519, bottom: -0.947 },
  { fs: 14.400, half: 1.045, top: 1.470, bottom: -0.880 },
  { fs: 15.600, half: 0.930, top: 1.395, bottom: -0.720 },
  { fs: 16.600, half: 0.820, top: 1.300, bottom: -0.545 },
  { fs: 17.600, half: 0.660, top: 1.170, bottom: -0.330 },
  { fs: 18.600, half: 0.450, top: 1.010, bottom: -0.120 },
  { fs: 19.300, half: 0.230, top: 0.900, bottom: 0.060 },
  { fs: 19.550, half: 0.120, top: 0.840, bottom: 0.140 },
